ID,U
mp-2530,24878.843683859868
mp-31454,23817.950995111445
mp-3980,72798.51348264274
mp-551456,50507.48631719605
mp-7482,32534.003167024646
mp-856,58510.49986472568
mp-561827,67998.741930849
mp-561902,93266.68027713342
mp-989545,68902.83537742967
mp-569639,15151.454501877311
mp-5962,47688.983138118456
mp-7848,73078.16681400065
mp-8621,38732.92356754068
mp-10918,49593.7529297541
mp-22888,46337.43751624204
mp-643101,145575.40682961608
mp-7670,76962.77145668532
mp-8192,78198.21227493789
mp-9720,103890.02526027652
mp-989531,82946.4308341949
mp-989565,74405.54619403048
mp-989638,103313.6657778016
mp-10281,66140.49950943342
mp-14115,37665.63978593257
mp-34169,54670.15166196791
mp-3432,24050.928891937405
mp-384,87713.3500500025
mp-6929,105186.84068383096
mp-1008680,24187.538472918222
mp-1009085,77704.05349821171
mp-5213,65653.9007919253
mp-8175,33429.61173333035
mp-989535,120225.14779280388
mp-22894,30399.224211603698
mp-5652,118438.74986447406
mp-5782,67922.88333477397
mp-7232,41365.00291207345
mp-3359,61133.76414629822
mp-370,15502.408822889303
mp-643260,100136.21249789192
mp-864954,83862.21943889587
mp-8874,86317.82392066263
mp-3070,136609.12588435042
mp-8255,72186.74646911418
mp-23303,15107.302293850702
mp-24292,138441.2531890884
mp-540584,42968.49005006169
mp-23259,15824.66846453066
mp-27253,96128.71073772103
mp-4690,113076.56674853111
mp-567558,61308.392491178034
mp-4009,64156.38059958359
mp-551269,88960.01363567339
mp-743,98965.19802679728
mp-1105,26681.698820478152
mp-22898,15151.4301228955
mp-27369,76523.32836666743
mp-29208,39041.89983833228
mp-5488,71783.86274048254
mp-9672,80945.70516990083
mp-989575,124640.16401888175
mp-11714,98250.90180283532
mp-1315,16494.05280498608
mp-2697,25578.09147226417
mp-4002,79831.83647954246
mp-697030,144345.8518165456
mp-10550,45216.5471770176
mp-11695,72706.59997516424
mp-14398,118834.40371155576
mp-7907,57197.59040673378
mp-1153,26542.591653432817
mp-8857,76995.54502494719
mp-5038,64531.41034724412
mp-973185,36689.813147470944
mp-1009082,63887.82909172212
mp-21855,64295.2330535111
mp-2400,64098.1047532017
mp-510273,69637.96794316487
mp-989405,76359.71908521559
mp-7437,48063.152274041495
mp-7922,72160.48767034343
mp-8062,24564.01515402165
mp-866132,29393.790416623902
mp-9839,87923.15572230717
mp-1009819,15036.850629068838
mp-27904,102103.67456117246
mp-29025,72360.38771330327
mp-549737,121717.21598005132
mp-571093,42985.29297847112
mp-8280,39628.58354962828
mp-8300,50673.62909680967
mp-23033,32211.782809101955
mp-774907,41621.29434648977
mp-10289,129604.02487204022
mp-2784,23130.862221679738
mp-28069,54955.019104925086
mp-8017,63712.36387108845
mp-8452,50582.38382625227
mp-9127,86803.24623065938
mp-23737,63699.11595277336
mp-581024,30315.776716631422
mp-13925,81376.63748972188
mp-23137,85566.72798490016
mp-6204,82631.66025539023
mp-7438,46213.39140207512
mp-22957,48030.66278411214
mp-22988,38556.31940557626
mp-2352,24974.8274990742
mp-441,22644.8524195076
mp-571222,15071.306836105588
mp-5840,75696.03887614059
mp-6972,36602.686269783866
mp-867193,30322.323983286504
mp-8978,70866.7961723869
mp-991676,62561.07278763803
mp-28650,30830.489104763816
mp-641923,68727.61489077439
mp-7323,107282.66618846916
mp-7604,64050.52512485958
mp-7622,135809.27182558586
mp-9195,62588.51488491198
mp-1986,18337.98099689708
mp-5061,117984.95171609556
mp-558071,31476.99479763222
mp-7449,76525.30695916088
mp-568666,75797.49532539044
mp-6973,46598.359800393
mp-9143,81232.88185210926
mp-10167,63097.64745163792
mp-1287,95169.12597276324
mp-547244,85283.29538772014
mp-14088,78393.4264815801
mp-14437,34115.96674705149
mp-304,93715.93704654278
mp-4359,48768.81680299871
mp-4385,123508.67571979022
mp-9570,39867.80557004749
mp-985586,40546.97266352075
mp-11719,54829.643079819776
mp-14069,77874.54158228278
mp-20027,54932.132499045736
mp-23097,75235.40990850177
mp-568661,54431.18821825416
mp-8041,22933.068668079213
mp-24428,148434.54775891223
mp-4405,36977.87021710323
mp-569812,115653.55306631628
mp-1265,19322.09800612995
mp-5020,45828.61750031965
mp-8943,92469.77004408187
mp-1009088,69985.49665456709
mp-10547,101176.1616542244
mp-570354,14289.80924885176
mp-6613,88580.30543570226
mp-7929,39799.30860875483
mp-961649,24142.89662264293
mp-989548,78634.96879514665
mp-23289,15337.930998217971
mp-4547,41952.95214396654
mp-504535,109552.09687326198
mp-7067,38724.2834350695
mp-8756,48394.40747218272
mp-27830,70213.38299416752
mp-1247,94095.24252884628
mp-28110,66325.36596162827
mp-3915,34533.62747598225
mp-5414,63478.608703365775
mp-8934,76681.48383884814
mp-9107,97272.8931087456
mp-571124,72034.23494395477
mp-5858,71745.08951818843
mp-14036,77984.8275258081
mp-149,18390.0039118112
mp-35220,137641.81491866976
mp-643002,147064.54145150713
mp-6947,71938.47099782308
mp-1009894,19254.505744711907
mp-7684,53520.52094023172
mp-7891,40179.19037843106
mp-9718,100114.39313895114
mp-2074,33842.24436848532
mp-560588,33060.092614571455
mp-7801,78915.15735376923
mp-9386,46176.35770024444
mp-974381,86782.97537834583
mp-2176,15521.405621704123
mp-2758,15386.297331004303
mp-7650,70393.6981310204
mp-8262,82167.73237995859
mp-8812,78680.88222975215
mp-9144,75197.28540308894
mp-20282,78167.15138681156
mp-27869,30861.936231804662
mp-32880,15437.961348366323
mp-567655,73409.91632787473
mp-753747,107180.16865280842
mp-24721,18991.84487630628
mp-9569,40661.11050051082
mp-9845,46394.62719596701
mp-996944,68360.35038133053
mp-23059,70533.70578549568
mp-34293,76106.52519835456
mp-7374,87767.28408409044
mp-1029,24039.336591841395
mp-10381,59708.761673974885
mp-12622,102801.80844952508
mp-14205,62182.494348906
mp-4081,63153.15922019474
mp-12418,92776.25186784255
mp-23406,71444.80735248931
mp-27828,71090.76267051863
mp-569346,30744.86453034768
mp-1022,23199.724678891933
mp-8930,77749.35078062785
mp-23214,47342.17892696679
mp-27207,53652.49368607808
mp-3524,96683.53524794945
mp-5394,48644.6026624701
mp-28453,75746.4291803605
mp-30056,37199.99935010745
mp-34932,42307.19779877636
mp-626151,112446.68705191772
mp-643279,146738.74657510823
mp-865500,76722.36405048649
mp-8830,37568.2255600849
mp-608555,70473.14057511056
mp-642725,109787.75267747998
mp-1873,51172.906216963966
mp-23209,23309.3763011836
mp-773137,45974.88983731935
mp-961678,24158.75216338515
mp-34579,93604.42612507349
mp-4452,57976.73650523237
mp-1243,97025.11504206916
mp-13641,93848.08398382018
mp-19734,69908.82136277176
mp-2659,51419.7195611617
mp-5532,63216.20203244654
mp-10492,83357.39541314202
mp-23025,50328.1767979987
mp-422,20051.46628913414
